| Run on Mon Dec 15 19:21:22 2025
|
|gmx_MMPBSA Version=v1.6.2 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  md.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-179"
|Ligand mask:                    ":180"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 1001 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 310.00 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    649.84         21.87      21.87         0.69       0.69
ANGLE                  1448.32         34.15      34.15         1.08       1.08
DIHED                  1834.18         17.39      17.39         0.55       0.55
UB                      187.00          6.71       6.71         0.21       0.21
IMP                      99.24          7.12       7.12         0.23       0.23
CMAP                   -101.88         10.92      10.92         0.35       0.35
VDWAALS               -1193.68         19.32      19.32         0.61       0.61
EEL                  -10744.03        118.80     118.80         3.75       3.75
1-4 VDW                 529.43         11.77      11.77         0.37       0.37
1-4 EEL                5624.16         47.84      47.84         1.51       1.51
EPB                   -2693.89         97.18      97.18         3.07       3.07
ENPOLAR                  52.79          1.05       1.05         0.03       0.03
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1667.43        138.11     122.23         4.37       3.86
GSOLV                 -2641.10         97.19      96.71         3.07       3.06

TOTAL                 -4308.52        168.87      62.05         5.34       1.96

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    632.48         21.59      21.59         0.68       0.68
ANGLE                  1407.69         33.56      33.56         1.06       1.06
DIHED                  1782.35         17.04      17.04         0.54       0.54
UB                      179.80          6.52       6.52         0.21       0.21
IMP                      98.72          7.12       7.12         0.22       0.22
CMAP                   -101.88         10.92      10.92         0.35       0.35
VDWAALS               -1148.28         18.65      18.65         0.59       0.59
EEL                  -10594.31        117.92     117.92         3.73       3.73
1-4 VDW                 510.16         11.71      11.71         0.37       0.37
1-4 EEL                5424.73         47.65      47.65         1.51       1.51
EPB                   -2693.40         95.55      95.55         3.02       3.02
ENPOLAR                  53.36          0.98       0.98         0.03       0.03
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1808.53        136.95     120.92         4.33       3.82
GSOLV                 -2640.03         95.55      95.09         3.02       3.01

TOTAL                 -4448.57        166.99      61.07         5.28       1.93

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     17.37          3.41       3.41         0.11       0.11
ANGLE                    40.63          4.58       4.58         0.14       0.14
DIHED                    51.82          3.20       3.20         0.10       0.10
UB                        7.20          1.09       1.09         0.03       0.03
IMP                       0.52          0.52       0.52         0.02       0.02
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                  -5.36          1.48       1.48         0.05       0.05
EEL                    -135.12          4.68       4.68         0.15       0.15
1-4 VDW                  19.27          1.94       1.94         0.06       0.06
1-4 EEL                 199.43          4.64       4.64         0.15       0.15
EPB                     -33.72          2.44       2.44         0.08       0.08
ENPOLAR                   4.35          0.08       0.08         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                    195.75          9.68       6.62         0.31       0.21
GSOLV                   -29.37          2.44       2.42         0.08       0.08

TOTAL                   166.38          9.98       6.21         0.32       0.20

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          3.14       0.00         0.10       0.00
ΔANGLE                    0.00          3.99       0.00         0.13       0.00
ΔDIHED                   -0.00          2.85       0.00         0.09       0.00
ΔUB                       0.00          0.90       0.00         0.03       0.00
ΔIMP                     -0.00          0.51       0.00         0.02       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -40.04          0.81       7.16         0.03       0.23
ΔEEL                    -14.60          3.80       8.60         0.12       0.27
Δ1-4 VDW                 -0.00          1.89       0.00         0.06       0.00
Δ1-4 EEL                 -0.00          4.46       0.00         0.14       0.00
ΔEPB                     33.23          0.81       7.67         0.03       0.24
ΔENPOLAR                 -4.92          0.01       0.39         0.00       0.01
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -54.64          4.02      11.28         0.13       0.36
ΔGSOLV                   28.30          0.81       7.52         0.03       0.24

ΔTOTAL                  -26.34          4.10       8.39         0.13       0.27
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
