| Run on Tue Dec 16 15:46:28 2025
|
|gmx_MMPBSA Version=v1.6.2 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  md.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-179"
|Ligand mask:                    ":180"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 5001 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 310.00 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    647.90         22.74      22.74         0.32       0.32
ANGLE                  1447.80         34.86      34.86         0.49       0.49
DIHED                  1837.00         17.78      17.78         0.25       0.25
UB                      186.79          6.63       6.63         0.09       0.09
IMP                      98.68          7.32       7.32         0.10       0.10
CMAP                   -110.53         12.90      12.90         0.18       0.18
VDWAALS               -1190.74         21.44      21.44         0.30       0.30
EEL                  -10763.41        134.96     134.96         1.91       1.91
1-4 VDW                 528.35         11.35      11.35         0.16       0.16
1-4 EEL                5605.70         49.45      49.45         0.70       0.70
EPB                   -2649.92        111.95     111.95         1.58       1.58
ENPOLAR                  52.38          1.31       1.31         0.02       0.02
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1712.47        153.49     137.32         2.17       1.94
GSOLV                 -2597.54        111.95     111.29         1.58       1.57

TOTAL                 -4310.01        189.98      63.07         2.69       0.89

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    630.51         22.39      22.39         0.32       0.32
ANGLE                  1407.42         34.38      34.38         0.49       0.49
DIHED                  1785.45         17.48      17.48         0.25       0.25
UB                      179.58          6.52       6.52         0.09       0.09
IMP                      98.16          7.29       7.29         0.10       0.10
CMAP                   -110.53         12.90      12.90         0.18       0.18
VDWAALS               -1150.95         21.92      21.92         0.31       0.31
EEL                  -10615.07        136.24     136.24         1.93       1.93
1-4 VDW                 509.09         11.16      11.16         0.16       0.16
1-4 EEL                5407.38         49.35      49.35         0.70       0.70
EPB                   -2644.72        113.79     113.79         1.61       1.61
ENPOLAR                  52.41          1.58       1.58         0.02       0.02
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1858.95        154.44     139.03         2.18       1.97
GSOLV                 -2592.32        113.80     112.95         1.61       1.60

TOTAL                 -4451.27        191.84      61.92         2.71       0.88

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     17.39          3.44       3.44         0.05       0.05
ANGLE                    40.37          4.62       4.62         0.07       0.07
DIHED                    51.54          3.00       3.00         0.04       0.04
UB                        7.21          1.09       1.09         0.02       0.02
IMP                       0.52          0.53       0.53         0.01       0.01
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                  -5.54          1.54       1.54         0.02       0.02
EEL                    -135.42          4.66       4.66         0.07       0.07
1-4 VDW                  19.26          1.92       1.92         0.03       0.03
1-4 EEL                 198.32          4.10       4.10         0.06       0.06
EPB                     -32.92          2.61       2.61         0.04       0.04
ENPOLAR                   4.26          0.15       0.15         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                    193.66          9.40       6.47         0.13       0.09
GSOLV                   -28.66          2.62       2.57         0.04       0.04

TOTAL                   165.01          9.75       6.10         0.14       0.09

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          3.10       0.00         0.04       0.00
ΔANGLE                   -0.00          4.14       0.00         0.06       0.00
ΔDIHED                    0.00          2.70       0.00         0.04       0.00
ΔUB                       0.00          0.98       0.00         0.01       0.00
ΔIMP                      0.00          0.50       0.00         0.01       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -34.26          1.06       5.60         0.01       0.08
ΔEEL                    -12.93          3.38       9.46         0.05       0.13
Δ1-4 VDW                 -0.00          1.73       0.00         0.02       0.00
Δ1-4 EEL                 -0.00          4.00       0.00         0.06       0.00
ΔEPB                     27.72          0.77       8.70         0.01       0.12
ΔENPOLAR                 -4.29          0.11       0.54         0.00       0.01
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -47.18          3.71      12.35         0.05       0.17
ΔGSOLV                   23.43          0.78       8.36         0.01       0.12

ΔTOTAL                  -23.75          3.79       7.33         0.05       0.10
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
