| Run on Mon Dec 15 15:53:22 2025
|
|gmx_MMPBSA Version=v1.6.2 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  md.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-179"
|Ligand mask:                    ":180-189"
|
|Calculations performed using 1001 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 310.00 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    758.05         24.50      24.50         0.77       0.77
ANGLE                  1635.75         37.94      37.94         1.20       1.20
DIHED                  2132.45         19.19      19.19         0.61       0.61
UB                      244.01          8.26       8.26         0.26       0.26
IMP                     103.63          7.52       7.52         0.24       0.24
CMAP                   -109.79         10.52      10.52         0.33       0.33
VDWAALS               -1334.38         20.84      20.84         0.66       0.66
EEL                  -11697.72        154.33     154.33         4.88       4.88
1-4 VDW                 690.97         12.96      12.96         0.41       0.41
1-4 EEL                6036.38         50.59      50.59         1.60       1.60
EPB                   -3582.60        133.64     133.64         4.22       4.22
ENPOLAR                  58.91          1.39       1.39         0.04       0.04
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1540.65        172.11     157.51         5.44       4.98
GSOLV                 -3523.70        133.64     132.95         4.22       4.20

TOTAL                 -5064.34        217.91      70.70         6.89       2.23

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    632.05         21.81      21.81         0.69       0.69
ANGLE                  1409.36         34.64      34.64         1.09       1.09
DIHED                  1779.69         16.85      16.85         0.53       0.53
UB                      179.73          6.74       6.74         0.21       0.21
IMP                      97.73          7.38       7.38         0.23       0.23
CMAP                   -109.79         10.52      10.52         0.33       0.33
VDWAALS               -1132.50         20.32      20.32         0.64       0.64
EEL                  -10464.22        135.07     135.07         4.27       4.27
1-4 VDW                 509.06         10.89      10.89         0.34       0.34
1-4 EEL                5409.09         49.26      49.26         1.56       1.56
EPB                   -2790.18        107.23     107.23         3.39       3.39
ENPOLAR                  53.86          1.14       1.14         0.04       0.04
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1689.80        152.87     134.28         4.83       4.24
GSOLV                 -2736.32        107.24     106.75         3.39       3.37

TOTAL                 -4426.12        186.74      64.21         5.90       2.03

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    126.00          9.99       9.99         0.32       0.32
ANGLE                   226.40         12.02      12.02         0.38       0.38
DIHED                   352.76          7.79       7.79         0.25       0.25
UB                       64.27          4.64       4.64         0.15       0.15
IMP                       5.90          1.61       1.61         0.05       0.05
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                -123.65         10.44      10.44         0.33       0.33
EEL                    -395.06         47.64      47.64         1.51       1.51
1-4 VDW                 181.91          6.98       6.98         0.22       0.22
1-4 EEL                 627.29         13.85      13.85         0.44       0.44
EPB                   -1627.83         38.66      38.66         1.22       1.22
ENPOLAR                  13.51          0.73       0.73         0.02       0.02
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                   1065.82         54.29      45.98         1.72       1.45
GSOLV                 -1614.31         38.67      38.85         1.22       1.23

TOTAL                  -548.49         66.65      18.69         2.11       0.59

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          7.30       0.00         0.23       0.00
ΔANGLE                    0.00          8.72       0.00         0.28       0.00
ΔDIHED                    0.00          5.45       0.00         0.17       0.00
ΔUB                       0.00          3.13       0.00         0.10       0.00
ΔIMP                     -0.00          1.47       0.00         0.05       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -78.22          9.91       8.11         0.31       0.26
ΔEEL                   -838.44         28.37     152.29         0.90       4.81
Δ1-4 VDW                  0.00          4.92       0.00         0.16       0.00
Δ1-4 EEL                 -0.00         12.52       0.00         0.40       0.00
ΔEPB                    835.41         12.25     144.04         0.39       4.55
ΔENPOLAR                 -8.47          0.48       0.87         0.02       0.03
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                  -916.67         30.25     154.37         0.96       4.88
ΔGSOLV                  826.94         12.26     143.47         0.39       4.53

ΔTOTAL                  -89.73         32.64      20.43         1.03       0.65
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
