| Run on Wed Dec 17 16:34:16 2025
|
|gmx_MMPBSA Version=v1.6.2 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  md.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-179"
|Ligand mask:                    ":180-189"
|
|Calculations performed using 5001 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 310.00 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    756.73         24.29      24.29         0.34       0.34
ANGLE                  1633.99         36.91      36.91         0.52       0.52
DIHED                  2126.25         19.54      19.54         0.28       0.28
UB                      243.67          7.93       7.93         0.11       0.11
IMP                     103.90          7.36       7.36         0.10       0.10
CMAP                   -110.20         11.97      11.97         0.17       0.17
VDWAALS               -1337.88         23.39      23.39         0.33       0.33
EEL                  -11890.90        159.12     159.12         2.25       2.25
1-4 VDW                 691.78         13.16      13.16         0.19       0.19
1-4 EEL                6051.38         52.87      52.87         0.75       0.75
EPB                   -3397.15        140.49     140.49         1.99       1.99
ENPOLAR                  57.81          1.55       1.55         0.02       0.02
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1731.27        177.29     162.17         2.51       2.29
GSOLV                 -3339.34        140.50     139.56         1.99       1.97

TOTAL                 -5070.61        226.21      65.60         3.20       0.93

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    631.09         21.89      21.89         0.31       0.31
ANGLE                  1407.23         34.23      34.23         0.48       0.48
DIHED                  1774.51         17.63      17.63         0.25       0.25
UB                      179.48          6.40       6.40         0.09       0.09
IMP                      98.17          7.18       7.18         0.10       0.10
CMAP                   -110.20         11.97      11.97         0.17       0.17
VDWAALS               -1127.60         21.68      21.68         0.31       0.31
EEL                  -10362.17        156.47     156.47         2.21       2.21
1-4 VDW                 510.14         11.16      11.16         0.16       0.16
1-4 EEL                5421.80         50.85      50.85         0.72       0.72
EPB                   -2885.40        131.48     131.48         1.86       1.86
ENPOLAR                  54.67          1.34       1.34         0.02       0.02
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1577.55        172.80     155.27         2.44       2.20
GSOLV                 -2830.73        131.49     130.76         1.86       1.85

TOTAL                 -4408.29        217.14      60.43         3.07       0.85

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    125.64          9.91       9.91         0.14       0.14
ANGLE                   226.76         11.69      11.69         0.17       0.17
DIHED                   351.74          7.58       7.58         0.11       0.11
UB                       64.18          4.70       4.70         0.07       0.07
IMP                       5.73          1.51       1.51         0.02       0.02
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                -121.57          6.59       6.59         0.09       0.09
EEL                    -410.19         30.62      30.62         0.43       0.43
1-4 VDW                 181.65          6.86       6.86         0.10       0.10
1-4 EEL                 629.58         13.80      13.80         0.20       0.20
EPB                   -1617.16         24.83      24.83         0.35       0.35
ENPOLAR                  13.70          0.36       0.36         0.01       0.01
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                   1053.54         39.18      31.47         0.55       0.44
GSOLV                 -1603.46         24.84      24.84         0.35       0.35

TOTAL                  -549.92         46.39      16.38         0.66       0.23

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          7.51       0.00         0.11       0.00
ΔANGLE                   -0.00          9.00       0.00         0.13       0.00
ΔDIHED                    0.00          5.66       0.00         0.08       0.00
ΔUB                      -0.00          3.17       0.00         0.04       0.00
ΔIMP                     -0.00          1.34       0.00         0.02       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -88.71          4.87       8.52         0.07       0.12
ΔEEL                  -1118.55         27.96     154.49         0.40       2.18
Δ1-4 VDW                 -0.00          4.86       0.00         0.07       0.00
Δ1-4 EEL                 -0.00         11.77       0.00         0.17       0.00
ΔEPB                   1105.42         15.83     145.94         0.22       2.06
ΔENPOLAR                -10.57          0.15       0.97         0.00       0.01
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                 -1207.25         28.59     156.60         0.40       2.21
ΔGSOLV                 1094.85         15.83     145.29         0.22       2.05

ΔTOTAL                 -112.40         32.68      19.39         0.46       0.27
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
