# PAC5-Rep1-C1-f287 PAC5-Rep1-C2-f51 PAC5-Rep1-C3-f947 PAC5-Rep2-C1-f39 PAC5-Rep2-C2-f446 PAC5-Rep2-C3-f830 PAC5-Rep3-C1-f624 PAC5-Rep3-C2-f3203 PAC5-Rep3-C3-f4063 PAC5-Rep3-C4-f2061 RNA-Rep1-C1-f282 RNA-Rep1-C2-f905 RNA-Rep1-C3-f335 RNA-Rep2-C1-f40 RNA-Rep2-C2-f280 RNA-Rep2-C3-f505 RNA-Rep2-C4-f728 RNA-Rep3-C1-f58 RNA-Rep3-C2-f884 RNA-Rep3-C3-f4025 RNA-Rep3-C4-f2953 ssDNA-Rep1-C1-f60 ssDNA-Rep1-C2-f200 ssDNA-Rep1-C3-f368 ssDNA-Rep1-C4-f395 ssDNA-Rep2-C1-f56 ssDNA-Rep2-C2-f168 ssDNA-Rep2-C3-f304 ssDNA-Rep2-C4-f514 ssDNA-Rep2-C5-f792 ssDNA-Rep3-C1-f182 ssDNA-Rep3-C2-f867 ssDNA-Rep3-C3-f4710
0.00000000 2.78468394 3.87075377 1.99435353 3.73962903 3.25101614 3.02543020 3.20407748 3.39720941 3.59965611 2.28842402 3.13153982 3.95704603 2.69501662 3.23383307 3.93077159 4.19541645 2.31700277 3.29573512 3.26530170 3.16924834 1.87188756 2.31547189 3.29796934 2.14229655 2.51659846 2.53502560 2.92449951 3.23502421 3.68604159 2.28081226 2.96712995 3.65354013
2.78468394 0.00000000 5.10758781 3.44969893 4.17989683 4.38115263 3.96811199 4.49683523 4.20950127 4.33421183 2.99142790 3.71245885 4.16227150 2.96407175 4.09462833 5.27163744 4.94998741 3.61606312 4.58140516 4.67683840 3.87057757 2.83780956 3.51800537 4.42153835 3.34569001 3.10204554 3.55222726 4.12516785 4.49964762 5.11443901 2.82214618 4.16389370 4.45483589
3.87075377 5.10758781 0.00000000 3.64480352 5.45397186 4.81305170 4.06364155 4.03845739 3.49048758 3.54926968 4.33237839 3.87784719 4.33579302 4.58111477 3.45758772 2.74651265 4.25600719 2.96287513 3.76513624 4.17361832 3.96721792 4.08376312 3.62194252 3.23739481 3.76114011 3.90799546 3.48023462 2.98146033 3.00992751 3.41727448 4.00764847 4.52542925 4.44472122
1.99435353 3.44969893 3.64480352 0.00000000 3.27514434 2.89041853 2.24539018 3.34816575 3.20037174 3.38397503 2.19705009 2.73114944 2.97134447 2.23333073 2.86013079 3.68048716 3.95213962 1.89870954 3.12973213 2.80649233 3.31375027 1.74127805 2.00279903 2.75492954 2.26341915 2.02457476 1.98894358 2.28499436 2.68387270 3.27102923 2.10422015 2.77596450 3.64878654
3.73962903 4.17989683 5.45397186 3.27514434 0.00000000 2.37390399 2.89064264 3.58393526 3.90224123 4.35453224 2.94599032 3.22640133 3.27020597 2.50595331 3.27321768 4.72228718 3.65373588 3.24977851 3.15754271 3.20910716 3.39565325 2.87879896 2.98533463 3.39386559 3.49235296 2.76975441 2.97632074 3.63867044 3.63650513 4.03310966 2.89566326 2.71263409 3.26220894
3.25101614 4.38115263 4.81305170 2.89041853 2.37390399 0.00000000 2.17679644 2.92861223 3.82660604 3.91950417 2.94042945 2.94008136 3.24779487 2.89695859 2.76487494 3.85406828 3.48191977 2.83533335 2.40839911 2.01669431 3.22878885 2.66747141 2.19186020 2.61696124 2.67702842 2.84181976 2.39100695 2.75672388 2.70372009 2.94180894 2.93567085 1.71924591 2.75032139
3.02543020 3.96811199 4.06364155 2.24539018 2.89064264 2.17679644 0.00000000 3.09709525 3.57192755 3.03501725 2.75647616 2.76796865 2.50959730 2.59802580 2.34382272 3.60776520 3.62138700 2.25413537 2.68294477 2.45673037 3.39379525 2.29992795 2.10141492 2.37163353 2.58887506 2.30636787 2.10763669 2.07374573 2.34356093 2.76960659 2.52133608 2.43262863 3.23843741
3.20407748 4.49683523 4.03845739 3.34816575 3.58393526 2.92861223 3.09709525 0.00000000 2.99083495 3.05950046 3.10208941 2.86882043 3.91319227 3.37422729 3.10411119 3.49038982 2.99660945 2.67972755 2.48506141 3.11792135 2.95709229 2.75737906 2.70027494 2.96614170 3.04178452 3.02746964 2.78056669 3.12518549 2.94996929 3.30503345 2.99346733 2.59042859 2.48661137
3.39720941 4.20950127 3.49048758 3.20037174 3.90224123 3.82660604 3.57192755 2.99083495 0.00000000 3.48855281 3.01323366 2.75220513 3.62084103 3.54072833 2.99045897 3.42928672 3.39171457 2.56371498 3.15041804 3.55013418 3.15354466 3.05952287 2.96932435 3.04438376 3.09783268 2.85674310 2.71345115 3.03660107 3.04255772 3.61834431 2.99518704 3.50971818 3.27555037
3.59965611 4.33421183 3.54926968 3.38397503 4.35453224 3.91950417 3.03501725 3.05950046 3.48855281 0.00000000 3.30416679 2.76551628 3.37579298 3.47205400 3.04525757 3.72888136 3.47573495 2.76403642 3.28615141 3.90777731 3.18410420 3.14823127 2.97780991 3.23738432 3.40616083 2.79305911 3.11983466 3.04948688 3.32477307 3.62480307 3.05702543 3.65555525 3.31904531
2.28842402 2.99142790 4.33237839 2.19705009 2.94599032 2.94042945 2.75647616 3.10208941 3.01323366 3.30416679 0.00000000 2.03550935 2.87921333 1.70732450 2.79436541 4.07380676 3.33374476 2.23236847 2.91430283 3.28680491 2.64903879 1.70640576 2.13229370 3.00302052 2.55473471 1.79373157 2.27666759 2.76658893 3.06385493 3.66049552 1.62367165 2.68565059 2.90095758
3.13153982 3.71245885 3.87784719 2.73114944 3.22640133 2.94008136 2.76796865 2.86882043 2.75220513 2.76551628 2.03550935 0.00000000 2.38692474 2.35489655 2.61563182 3.56783009 2.87934351 2.19451880 2.53550982 3.12287140 2.45432806 2.37584233 2.14355350 2.65866232 2.62528682 2.04758477 2.15790153 2.52026749 2.78889298 3.29218435 2.13467503 2.94491339 2.38323641
3.95704603 4.16227150 4.33579302 2.97134447 3.27020597 3.24779487 2.50959730 3.91319227 3.62084103 3.37579298 2.87921333 2.38692474 0.00000000 2.65234470 3.05137610 4.19330215 3.86138701 2.93069553 3.46836925 3.43510866 3.79730225 3.09115529 2.75877619 3.07602835 3.40759182 2.40335345 2.60257602 2.78347158 3.20567369 3.81947970 2.79498720 3.52402878 3.50819254
2.69501662 2.96407175 4.58111477 2.23333073 2.50595331 2.89695859 2.59802580 3.37422729 3.54072833 3.47205400 1.70732450 2.35489655 2.65234470 0.00000000 2.92832112 4.48365259 3.59014273 2.35094047 3.21739483 3.51705527 2.90619516 1.68034971 2.12458801 3.08215189 2.85262203 1.48300767 2.23079467 2.82562351 3.19482684 3.82205915 1.31500506 2.78665495 3.05611038
3.23383307 4.09462833 3.45758772 2.86013079 3.27321768 2.76487494 2.34382272 3.10411119 2.99045897 3.04525757 2.79436541 2.61563182 3.05137610 2.92832112 0.00000000 2.68283033 2.51887345 2.02229977 1.97806180 2.61217499 2.52459311 2.69658518 2.01236105 1.74575663 2.50323033 2.35493994 2.19815159 1.86763859 1.74315691 1.96763992 2.67473483 2.57803917 2.85892630
