| Run on Tue Dec 16 16:24:20 2025
|
|gmx_MMPBSA Version=v1.6.2 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  md.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-179"
|Ligand mask:                    ":180-191"
|
|Calculations performed using 5001 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 310.00 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    755.21         24.11      24.11         0.34       0.34
ANGLE                  1634.33         34.51      34.51         0.49       0.49
DIHED                  2197.99         19.30      19.30         0.27       0.27
UB                      259.27          8.19       8.19         0.12       0.12
IMP                     106.02          7.38       7.38         0.10       0.10
CMAP                   -106.70         11.15      11.15         0.16       0.16
VDWAALS               -1362.76         22.79      22.79         0.32       0.32
EEL                  -10068.36        178.43     178.43         2.52       2.52
1-4 VDW                 715.45         13.25      13.25         0.19       0.19
1-4 EEL                4047.90         53.24      53.24         0.75       0.75
EPB                   -4214.97        157.71     157.71         2.23       2.23
ENPOLAR                  61.84          1.64       1.64         0.02       0.02
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1821.66        194.31     179.78         2.75       2.54
GSOLV                 -4153.13        157.72     156.59         2.23       2.21

TOTAL                 -5974.80        250.26      62.13         3.54       0.88

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    632.25         21.82      21.82         0.31       0.31
ANGLE                  1413.17         31.70      31.70         0.45       0.45
DIHED                  1778.23         17.82      17.82         0.25       0.25
UB                      179.78          6.15       6.15         0.09       0.09
IMP                      98.30          7.20       7.20         0.10       0.10
CMAP                   -106.70         11.15      11.15         0.16       0.16
VDWAALS               -1139.70         20.38      20.38         0.29       0.29
EEL                  -10344.66        173.17     173.17         2.45       2.45
1-4 VDW                 511.17         11.18      11.18         0.16       0.16
1-4 EEL                5377.65         50.64      50.64         0.72       0.72
EPB                   -2869.58        140.43     140.43         1.99       1.99
ENPOLAR                  53.92          1.36       1.36         0.02       0.02
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1600.51        187.36     168.71         2.65       2.39
GSOLV                 -2815.66        140.43     139.50         1.99       1.97

TOTAL                 -4416.17        234.15      58.15         3.31       0.82

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    122.95          9.51       9.51         0.13       0.13
ANGLE                   221.17         11.59      11.59         0.16       0.16
DIHED                   419.76          6.45       6.45         0.09       0.09
UB                       79.49          5.30       5.30         0.07       0.07
IMP                       7.71          1.80       1.80         0.03       0.03
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                -126.49          6.81       6.81         0.10       0.10
EEL                    1156.66         53.51      53.51         0.76       0.76
1-4 VDW                 204.28          7.40       7.40         0.10       0.10
1-4 EEL               -1329.74         14.83      14.83         0.21       0.21
EPB                   -2235.66         50.49      50.49         0.71       0.71
ENPOLAR                  18.35          0.56       0.56         0.01       0.01
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                    755.78         59.01      52.48         0.83       0.74
GSOLV                 -2217.32         50.49      50.42         0.71       0.71

TOTAL                 -1461.54         77.66      16.80         1.10       0.24

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          7.22       0.00         0.10       0.00
ΔANGLE                    0.00          8.78       0.00         0.12       0.00
ΔDIHED                    0.00          4.98       0.00         0.07       0.00
ΔUB                       0.00          3.27       0.00         0.05       0.00
ΔIMP                     -0.00          1.62       0.00         0.02       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -96.58          4.40       8.20         0.06       0.12
ΔEEL                   -880.36         48.25     104.25         0.68       1.47
Δ1-4 VDW                 -0.00          5.33       0.00         0.08       0.00
Δ1-4 EEL                 -0.00         12.23       0.00         0.17       0.00
ΔEPB                    890.27         33.21     105.99         0.47       1.50
ΔENPOLAR                -10.42          0.27       0.99         0.00       0.01
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                  -976.93         48.59     107.28         0.69       1.52
ΔGSOLV                  879.85         33.21     105.31         0.47       1.49

ΔTOTAL                  -97.09         58.85      14.97         0.83       0.21
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
